path	token	line_sha256	occurrence	category	reason
.agents/skills/gpui-test/SKILL.md	ZED_HEADLESS	7f4aefdd5b7c7f45c340beefc8de729fa1dab7caf3b2f6f98a75509912579edd	1	compatibility	At .agents/skills/gpui-test/SKILL.md:65, `ZED_HEADLESS` is the exact legacy environment/configuration input `ZED_HEADLESS` retained behind Orion-first resolution or an explicit compatibility adapter.
.agents/skills/zed-cherry-pick/SKILL.md	Zed	844e7d05be6cf877b09eff3d97460924708ff732100e9952dddb7f23899d883c	1	upstream	At .agents/skills/zed-cherry-pick/SKILL.md:8, `Zed` names the actual upstream project, organization, or repository URL used for provenance or source synchronization.
.agents/skills/zed-cherry-pick/SKILL.md	Zed	844e7d05be6cf877b09eff3d97460924708ff732100e9952dddb7f23899d883c	2	upstream	At .agents/skills/zed-cherry-pick/SKILL.md:8, `Zed` names the actual upstream project, organization, or repository URL used for provenance or source synchronization.
.agents/skills/zed-cherry-pick/SKILL.md	Zed	c25e24e94f23f143ec83a3e3784003fc623b3ec1ea78fbd4fdc9d47c119ad322	1	upstream	At .agents/skills/zed-cherry-pick/SKILL.md:21, `Zed` identifies a concrete upstream issue, pull request, or commit needed to trace inherited behavior.
.agents/skills/zed-cherry-pick/SKILL.md	Zed	df54454d6a2f509b4978a3bdd3c078f681784fb90ff183c8e968c17a08fcbb3e	1	upstream	At .agents/skills/zed-cherry-pick/SKILL.md:3, `Zed` credits or discusses the actual upstream Zed project rather than presenting it as Orion identity.
.agents/skills/zed-cherry-pick/SKILL.md	Zed	eda1a9aa27551f0e63422e55746c4ecc51bc801bf3d99876d97990fbbfbb0347	1	upstream	At .agents/skills/zed-cherry-pick/SKILL.md:6, `Zed` credits or discusses the actual upstream Zed project rather than presenting it as Orion identity.
.agents/skills/zed-cherry-pick/SKILL.md	zed	2fece738c814f756f95378d960814e1c5c30f3378a5d5763b09be081995e5a7a	1	upstream	At .agents/skills/zed-cherry-pick/SKILL.md:2, `zed` credits or discusses the actual upstream Zed project rather than presenting it as Orion identity.
.agents/skills/zed-cherry-pick/SKILL.md	zed	844e7d05be6cf877b09eff3d97460924708ff732100e9952dddb7f23899d883c	1	upstream	At .agents/skills/zed-cherry-pick/SKILL.md:8, `zed` names the actual upstream project, organization, or repository URL used for provenance or source synchronization.
.agents/skills/zed-cherry-pick/SKILL.md	zed	87aa462d9e3cd8c96396d4d7efbf89fffa44f9f87963156e6429027c821e2ca9	1	upstream	At .agents/skills/zed-cherry-pick/SKILL.md:56, `zed` names the actual upstream project, organization, or repository URL used for provenance or source synchronization.
.agents/skills/zed-cherry-pick/SKILL.md	zed-industries	844e7d05be6cf877b09eff3d97460924708ff732100e9952dddb7f23899d883c	1	upstream	At .agents/skills/zed-cherry-pick/SKILL.md:8, `zed-industries` names the actual upstream project, organization, or repository URL used for provenance or source synchronization.
.agents/skills/zed-cherry-pick/SKILL.md	zed-industries	87aa462d9e3cd8c96396d4d7efbf89fffa44f9f87963156e6429027c821e2ca9	1	upstream	At .agents/skills/zed-cherry-pick/SKILL.md:56, `zed-industries` names the actual upstream project, organization, or repository URL used for provenance or source synchronization.
.factory/prompts/crash/link-issues.md	Zed	5d4747595bd516588f5271503bca40818b1aa8a8a6b3a24e561b91e7f813f400	1	upstream	At .factory/prompts/crash/link-issues.md:88, `Zed` credits or discusses the actual upstream Zed project rather than presenting it as Orion identity.
.factory/prompts/crash/link-issues.md	Zed	f0a862fd365e979056f5eac5142dd84b49bc36a3e9b27f1308a7072e00d70e34	1	upstream	At .factory/prompts/crash/link-issues.md:47, `Zed` names the actual upstream project, organization, or repository URL used for provenance or source synchronization.
.factory/prompts/crash/link-issues.md	zed	f0a862fd365e979056f5eac5142dd84b49bc36a3e9b27f1308a7072e00d70e34	1	upstream	At .factory/prompts/crash/link-issues.md:47, `zed` names the actual upstream project, organization, or repository URL used for provenance or source synchronization.
.factory/prompts/crash/link-issues.md	zed-industries	f0a862fd365e979056f5eac5142dd84b49bc36a3e9b27f1308a7072e00d70e34	1	upstream	At .factory/prompts/crash/link-issues.md:47, `zed-industries` names the actual upstream project, organization, or repository URL used for provenance or source synchronization.
.factory/skills/brand-writer/SKILL.md	Zed	4756e7414bfb6c057831d70298d10b633e6d112da8272d922221d23454ab8e48	1	upstream	At .factory/skills/brand-writer/SKILL.md:43, `Zed` credits or discusses the actual upstream Zed project rather than presenting it as Orion identity.
.factory/skills/brand-writer/SKILL.md	Zed	d98a797251c58fda0bf6b06ce1ba88bb551273aec860f4575fd32218922694ec	1	upstream	At .factory/skills/brand-writer/SKILL.md:135, `Zed` credits or discusses the actual upstream Zed project rather than presenting it as Orion identity.
.factory/skills/brand-writer/voice-examples.md	Zed	04de0fa29c7947ea5ac9cdc13eac2cc46585d541b0d0626222c00d364c206673	1	upstream	At .factory/skills/brand-writer/voice-examples.md:250, `Zed` credits or discusses the actual upstream Zed project rather than presenting it as Orion identity.
.factory/skills/brand-writer/voice-examples.md	Zed	4c6442799a7cf17052b141ddf3a1376d8db9f5c912f2dfd724ff39dcb4e46634	1	upstream	At .factory/skills/brand-writer/voice-examples.md:244, `Zed` credits or discusses the actual upstream Zed project rather than presenting it as Orion identity.
.factory/skills/brand-writer/voice-examples.md	Zed	d2c3592210e5b388df25c30629181b6c1dd37e08d5b0a3621dcce52ce4b3884d	1	upstream	At .factory/skills/brand-writer/voice-examples.md:223, `Zed` credits or discusses the actual upstream Zed project rather than presenting it as Orion identity.
.factory/skills/brand-writer/voice-examples.md	Zed	d98a797251c58fda0bf6b06ce1ba88bb551273aec860f4575fd32218922694ec	1	upstream	At .factory/skills/brand-writer/voice-examples.md:240, `Zed` credits or discusses the actual upstream Zed project rather than presenting it as Orion identity.
.factory/skills/brand-writer/voice-examples.md	Zed	e9485d9a7452ddd6fcd9213db09905cd7b1207dc8a7ae8bfba4997d21c9d7d5b	1	upstream	At .factory/skills/brand-writer/voice-examples.md:211, `Zed` credits or discusses the actual upstream Zed project rather than presenting it as Orion identity.
.git-blame-ignore-revs	zed	67a1a82d8c483ee0a03ae8ea10f8b8f60c6a3ec41e55166e4366019d6d73cd43	1	historical	At .git-blame-ignore-revs:31, `zed` identifies the immutable upstream repository in a Git history citation.
.git-blame-ignore-revs	zed	a84e08b85fd3908280dd986f5ecb5be67ec42680d2a44cf492d19a55e72f13dc	1	historical	At .git-blame-ignore-revs:43, `zed` identifies the immutable upstream repository in a Git history citation.
.git-blame-ignore-revs	zed	bf10473e27d8e6f3471eae7e511fb0d033d4d47e2bfa3de90a7b3f957feeb842	1	historical	At .git-blame-ignore-revs:27, `zed` identifies the immutable upstream repository in a Git history citation.
.git-blame-ignore-revs	zed	c3b75df38095b1b16aa6d2b23f286eff1ed6439947c55e8dbba174bcdd2e6264	1	historical	At .git-blame-ignore-revs:19, `zed` identifies the immutable upstream repository in a Git history citation.
.git-blame-ignore-revs	zed	d004edcc425fa62749228cc1e9eb6a033ec2940f7e012b5972ade483cd232684	1	historical	At .git-blame-ignore-revs:39, `zed` identifies the immutable upstream repository in a Git history citation.
.git-blame-ignore-revs	zed	f566e4cae5e087ab7b533898ceea1fabb412dc070a5d3b67def077f01072f956	1	historical	At .git-blame-ignore-revs:35, `zed` identifies the immutable upstream repository in a Git history citation.
.git-blame-ignore-revs	zed	f61ca14d717395c20ebfe139d57598d81a275a9ed07d88db249bcda8158d41b9	1	historical	At .git-blame-ignore-revs:23, `zed` identifies the immutable upstream repository in a Git history citation.
.git-blame-ignore-revs	zed-industries	67a1a82d8c483ee0a03ae8ea10f8b8f60c6a3ec41e55166e4366019d6d73cd43	1	historical	At .git-blame-ignore-revs:31, `zed-industries` identifies the immutable upstream repository in a Git history citation.
.git-blame-ignore-revs	zed-industries	a84e08b85fd3908280dd986f5ecb5be67ec42680d2a44cf492d19a55e72f13dc	1	historical	At .git-blame-ignore-revs:43, `zed-industries` identifies the immutable upstream repository in a Git history citation.
.git-blame-ignore-revs	zed-industries	bf10473e27d8e6f3471eae7e511fb0d033d4d47e2bfa3de90a7b3f957feeb842	1	historical	At .git-blame-ignore-revs:27, `zed-industries` identifies the immutable upstream repository in a Git history citation.
.git-blame-ignore-revs	zed-industries	c3b75df38095b1b16aa6d2b23f286eff1ed6439947c55e8dbba174bcdd2e6264	1	historical	At .git-blame-ignore-revs:19, `zed-industries` identifies the immutable upstream repository in a Git history citation.
.git-blame-ignore-revs	zed-industries	d004edcc425fa62749228cc1e9eb6a033ec2940f7e012b5972ade483cd232684	1	historical	At .git-blame-ignore-revs:39, `zed-industries` identifies the immutable upstream repository in a Git history citation.
